"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
161789,"Sustainable Water Supply, Hygiene, and Health Improvements for Highly Vulnerable  Communities in Humla District, Mid-Western Nepal ",12220,"MISSION OST","Denmark","Nepal","Karnali Zone, Nepal",455782,75,607709,36,"M",2008
161797,"Establishment and operation of a safe birthing/new born care (SBNBCC) centre and providing outreach mother and child health services in Goljung Village of Rasuwa District",12230,"KARING FOR KIDS-NEPAL ASSOCIATION","Nepal","Nepal","Neapl Central Development Region, and Goljung, Chilime, Gatlang, Hau, Chilime of Rasuwa Districts, Nepal",157840,89,176740,60,"M",2008
161832,"Improving maternal and child health in Nepal",12261,"THE BBC WORLD SERVICE TRUST","United Kingdom","Nepal","Nationwide Nepal",500000,64,783739,36,"M",2008
163178,"Improving access to social protection and health services by older persons through creating effective models of social partnership and civil society participation in development process",15150,"HELPAGE INTERNATIONAL","United Kingdom","Tajikistan","Asht Rayon, Soghd Oblast, Tajikistan",91337,75,121783,18,"M",2008
163182,"The path of Development ",15150,"TAJIK ASSOCIATION SOCIAL PARTNERSHIP AND DEVELOPMENT","Tajikistan","Tajikistan","Republic of Tajikistan, Khatlon province. Vakhsh district,  villages of Yangiabad, Kirov, Tajikabad, Oq-gaza, Mash¿al, Rohi Lenin",68394,90,75993,24,"M",2008
163185,"Development of an Environmental Management Programme to Facilitate the sustainable Development of the Varzob Region",15150,"FOUNDATION TO SUPPORT CIVIL INITIATIVES","Tajikistan","Tajikistan","Varzob Region, Tajikistan",61568,90,68410,15,"M",2008
163187,"Social Dialogue on Resources Management",15150,"STANDING INTERNATIONAL FORUM ONETHNIC CONFLICT GENOCIDE & HUMANRIGHTS - INTERNATIONAL ALERT LBG","United Kingdom","Tajikistan","Tajikistan (Sughd, Khatlon, Gorny Badakhshan Autonomous Oblast and the Rayons of Republican Subordination)",99751,69,145592,18,"M",2008
163189,"Strengthening  Non State Actors for sustainable social and Financial services in Tajikistan",15150,"MOUNTAIN SOCIETIES DEVELOPMENT SUPPORT PROGRAMME","Tajikistan","Tajikistan","Darvaz, Rushan, Vanj, Shugnan and Roshtkala districts, Khorog Town, GBAO Region, Tajikistan",99699,90,110777,24,"M",2008
163194,"Strengthening the HIV response through linkages between community and authorities",16064,"CHRISTIAN AID LBG","United Kingdom","Tajikistan","Dushanbe city (district Sino, settlement AVUL, Sohmansur district,  area  9th kilometer); Khatlon region (Kulob town, Muminobod and Vose districts); Khatlon region (Kurghon-teppa city, Panj district, Shahritus district); DCS (Nurobod, Rasht, Faizobod, Regar, Rudaki districts); Sughd region (Panjakent, Isfara, Kairokkum, Chkalovsk). of the Republic of Tajikistan
",65000,71,92037,24,"M",2008
163197,"Enhancement of collaboration between Non State Actors and Local Authorities",15150,"NATIONAL ASSOCIATION OF DEKHAN FARMS OF THE REPUBLIC OF TAJIKISTAN","Tajikistan","Tajikistan","Rudaki District, Districts of Republican Subordination (DRS) of the Republic of Tajikistan",88374,89,99349,15,"M",2008
163200,"Empowerment  of Community Based organisations to improve implementation of primary education components of the national development strategy in Rasht valley",15150,"STICHTING SAVE THE CHILDREN NEDERLAND","Netherlands (The)","Tajikistan","Tavildara, Nurobod, Tajikabad and Jirgital Districts in the Rasht Valley, Republic of Tajikistan",96090,75,128120,17,"M",2008
163676,"Organisation of the activity of regional interdepartmental councils on counteraction to domestic violence",15170,"WOMEN SUPPORT CENTER PUBLIC ASSOCIATION","Kazakhstan","Kazakhstan","North Kazakhstani, Akmola, Karaganda, Taldykorgan, Ust-Kamenogorsk oblasts",151273.12,90,168081.25,36,"M",2008
163684,"Building capacity of Kazakhstani youth participating in decision making process in respect to quality of university education",11420,"SOCIETY OF YOUNG PROFESSIONALS OF KAZAKHSTAN CIVIC ASSOCIATION","Kazakhstan","Kazakhstan","Kazakhstan: Astana (capital), and regional centers: Almaty, Taraz, Shymkent, Kzylorda, Oskemen, Semey, Karaganda, Kokshetau, Pavlodar, Petropavlovsk, Kostanay, Aktau, Aktobe, Atyrau, Uralsk.",148562.72,78,189590,24,"M",2008
163953,"Capacity building of NGO and self-government sector in their efforts for poverty reduction",15150,"CENTER ON SOCIOLOGICAL, POLITICAL SCIENCE AND SOCIO-PSYCHOLOGICAL RESEARCHES","Kyrgyzstan","Kyrgyzstan","Kyrgyz Republic: 10 regions in Chui, Naryn, Issyk-Kul oblasts",228502,88,260550,24,"M",2008
164020,"Civil society network for access to information, decision making and access to justice in environmental matters  ",41081,"REGIONAL CENTRE FOR DEVELOPMENT FOUNDATION","Kyrgyzstan","Kyrgyzstan","all regions of KG",270000,90,300000,24,"M",2008
164022,"Increasing Capacity of Local Authorities and non-state actors to mitigate conflict",15220,"THE EURASIA FOUNDATION OF CENTRAL ASIA","Kyrgyzstan","Kyrgyzstan","Country: Kyrgyzstan
Regions/Oblasts: Osh, Jalal-Abad and Batken
Rayons: Aravan and Karasuu (Osh oblast); Alabuka and Aksy (Jalal-Abad) and Batken (Batken)
",94123,90,104581,18,"M",2008
164426,"Strengthening Community Action to Care for Orphans and Vulnerable Children in Burma/Myanmar",15150,"INTERNATIONAL HIV/AIDS ALLIANCE LBG","United Kingdom","Myanmar","Yangon, Mandalay, Bago, Mon, Sagaing, Kayin, Kachin, Ayerwaddy",350000,75,469621,30,"M",2008
164802,"Integrated Unexploded Ordnance (UXO) Threat Reduction in Savannakhet Province of the Lao People¿s Democratic Republic",15250,"ASBL HANDICAP INTERNATIONAL VZW","Belgium","Laos","Nong, Sepon and Vilabuly Districts of Savannakhet Province, Lao People¿s Democratic Republic",500000,70,713155,24,"M",2008
164806,"UXO clearance for Sustainable Outcomes in Vulnerable Communities, and Capacity Building of Local Authorities in Khammouane Province",15250,"THE MINES ADVISORY GROUP LBG","United Kingdom","Laos","Lao PDR, Khammouane Province, Boulapha, Gnommalat and Mahaxay Districts",500000,75,666685,24,"M",2008
164809,"Support to UXO Lao Operations in the districts of Sanxay and Phouvong, Attapeu Province",15250,"LAO NATIONAL UXO PROGRAMME (UXO LAO)","Laos","Laos","Districts of Sanxay and Phouvong, Attapeu Province, Lao PDR",150000,51,295655,24,"M",2008
164811,"Support to UXO Lao Operations in the Districts of Kaleum and Dakcheung, Sekong Province",15250,"LAO NATIONAL UXO PROGRAMME (UXO LAO)","Laos","Laos","Districts of Kaleum and Dakcheung, Sekong Province, Lao PDR",150000,51,292434,24,"M",2008
166159,"Community-based Health Development for remote, vulnerable communities.",12220,"DANSK RODE KORS","Denmark","Laos","Lao PDR, Huaphanh Province, 20 village communities in Add and Xamthay Districts.",466811.72,75,622415.63,48,"M",2008
166571,"Community Based Health Insurance (CBHI) for the Rural Poor",12220,"MALTESER HILFSDIENST EV","Germany","Cambodia ","Oddar Meanchey Province (OMC) in N.W. Cambodia with its main Operational Health District (OD) of Samraong. 
Target: general population of the province and ten Health Centres (HC) and two Referral Hospitals (RH). ",547801,75,730402,36,"M",2008
166576,"Boosting Locally Based Health Education and Reproductive Health Services in Kompong Chhanang Province, Cambodia",13020,"CESVI FOUNDATION ONLUS","Italy","Cambodia ","Boosting Locally-Based Health Education and Reproductive Health Services in Kampong Chhanang Province, Cambodia",379355.13,75,505806.83,24,"M",2008
167395,"Strengthening environmental NGOs in Burma/Myanmar
",15150,"ISTITUTO OIKOS ONLUS","Italy","Myanmar","BURMA in particular the sundaic subregion and Rakhin Yoma Range
Beneficiaries: 
- Local partner: BANCA
- Civil Society Organisations
- Community Based Organisations
",350000,74,471000,24,"M",2008
168034,"Indigenous People Integrated Community Development",15150,"CATHOLIC AGENCY FOR OVERSEAS DEVELOPMENT TRUST","United Kingdom","Cambodia ","The target groups include: Indigenous ethnic minorities, women and vulnerable communities. The project activities cover 2 provinces -Ratanakiri and Mondulkiri ",499062,69,726138,36,"M",2008
169633,"Addressing the Reproductive Health, HIV and Primary Health Care Needs of Cambodian Women and Influencing Related National Policies ",12220,"REPRODUCTIVE HEALTH ASSOCIATION OFCAMBODIA","Cambodia ","Cambodia ","Cambodia: service delivery to workplace communities in the industrial zone of Phnom Penh, Kampong Cham, and Kampong Speu provinces
Target: factory workers, especially young female workers.",852779,85,1000000,36,"M",2008
169988,"Building Community Organisations to Reduce Poverty and Vulnerability Amongst Older People and Their Families in Myanmar",15150,"HELPAGE INTERNATIONAL","United Kingdom","Myanmar","Divisions:	Ayeryarwady and Mandalay
Township:	Pathein, Kyaik Lat, Pyin Oo Lwin 
",348788,75,465050,36,"M",2008
170002,"Promoting People's Participantion and Governance in Vietnam Cities through the Association of Cities of Vietnam",15140,"KONRAD-ADENAUER-STIFTUNG EV","Germany","Vietnam","Hanoi and 30 selected cities in North-, Central- and South-Vietnam",499639.77,64,784980,30,"M",2008
170284,"Promoting Peace Dividends: Institutional Capacity Building of State and Non State Actors",15150,"AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT","France","Sri Lanka","Location: Sri Lanka - Eastern Province: Batticaloa, Ampara and Trincomalee Districts",350000,75,466667,20,"M",2008
170699,"Empowerment of Workers and Trade Unions in Vietnam",15150,"INSTITUTE FOR EUROPEAN STUDIES","Vietnam","Vietnam","Vietnam",318595.59,90,353995.59,32,"M",2008
170860,"Building Partnerships among Government, Parliament and Civil Society in Support for Pro-Poor and Gender-Responsive Budget Initiatives in South Sulawesi",15150,"YAYASAN LEMBAGA SWADAYA MASYARAKATKOMITE PEMANTAU LEGISLATIF","Indonesia","Indonesia","Indonesia: Makassar, Bantaeng, Luwu Timur & Tana Toraja
- executives, legislatives and civil society",179809,90,199788,24,"M",2008
171083,"Empowerment of migrant and HIV affected children and their families and caregivers to effectively participate in local policy development and implementation processes.",15150,"THE SAVE THE CHILDREN FUND LBG","United Kingdom","Vietnam","Ho Chi Minh City and Ca Mau province (southern Vietnam), Quang Ninh province (northern Vietnam)",367100.85,75,489467.8,36,"M",2008
171336,"Socio Economic Empowerment and Poverty Alleviation of the Northern Chin State Population",24040,"GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES","France","Myanmar","Chin State: Hakha, Falam, Tedim, Thantland",348800,75,465494,36,"M",2008
171425,"Rights Driven Institutionalisation of Sexual and Reproductive Health in Pakistan",13020,"STICHTING WPF (WORLD POPULATIONFOUNDATION)","Netherlands (The)","Pakistan","Pakistan, District Karachi (Sindh Province), District Matiari (Sindh Province) & District Multan (Punjab Province). Target Groups are Young People, Students, Women, NGOs/CBOs and Local Authorities.",611703,75,815603,48,"M",2008
172224,"South-Eastern Philippines Health and Economic Alternatives (HEAL) Project",15150,"MAHINTANA FOUNDATION INC. FOUNDATION","Philippines","Philippines","Philippines
Region XII and ARMM
South Cotabato: Tboli, Norala, Lake Sebu, Polomolok, Tampakan
Sarangani: Malungon, Maasim
Maguindanao: Upi
Sultan Kudarat: Tacurong",700000,90,779226,36,"M",2008
172229,"Local Institution Participation towards Livelihood Empowerment of the Mangyan Indigenous Peoples of Occidental Mindoro",15150,"PLAN INTERNATIONAL UK LIMITED BY GUARANTEE","United Kingdom","Philippines","Philippines
Province of Occidental mindoro: Abra de ilot, Paluan, Mamburao, Sta. Cruz, Sablayan, Calintaan, Rizal, San Jose, Magsaysay",1000000,70,1428611,60,"M",2008
172232,"Engaging Multi-Stakeholder participation in Health Advocacy towards Sustainable and Innovative Information and Services in Reproductive Health (EMPHASIS-RH)",13020,"WOMEN'S HEALTH CARE FOUNDATION INC","Philippines","Philippines","NCR: Quezon City, Caloocan City, Pasay City, Paranaque City, Manila, Muntinlupa City, San Juan City
Province of Bulacan
Province of Rizal; Antipolo City",990000,90,1100000,60,"M",2008
172234,"Promoting Transparency, Accountability and Effectiveness in the Management of Education Decontration Fund",15150,"PUSAT STUDI PENGEMBANGAN KAWASAN (PSPK) TUNGAL","Indonesia","Indonesia","Lampung City, Semarang City, Samarinda City, Kupang City, Makassar City and Jakarta (6 cities)",187240.69,71,264805.97,24,"M",2008
172334,"Public Procurement Reform in Local Government by Promoting Stakeholders Participation as a Means of Corruption Eradication in Public Service Delivery",15140,"YAYASAN BANDUNG TRUST ADVISORY GROUP","Indonesia","Indonesia","Indonesia: Puwakarta and Indramayu Regencies (West Java) - local government, local parliament (DPRD), private sectors as vendors and civil society",121112,90,134884,18,"M",2008
172398,"Advocacy for Special Autonomy Fund for the Implementation of Education Quality in Papua",15150,"LEMBAGA PENGUATAN MASYARAKAT SIPILPAPUA PERKUMPULAN","Indonesia","Indonesia","Jayapura City, Wamena Regency, Biak Regency, Province of Papua, Indonesia",187753.49,74,252730.5,24,"M",2008
172460,"Civil Society Engagement in Improving Quality and Access to Education",15150,"THE SAVE THE CHILDREN FUND LBG","United Kingdom","Indonesia","Maluku Province, Indonesia",150000,75,200000,24,"M",2008
172462,"Encouraging School Accountability System to Ensure School Service Affordability for the Poor",15150,"YAYASAN PUSAT TELAAH DAN INFORMASIREGIONAL","Indonesia","Indonesia","Serang Regency - Banten Province, Malang City - East Java and Gresik Regency - Central Java",171899.95,90,190999.95,18,"M",2008
172639,"Civil Society and Sound Hazardous Waste Management in Kazakhstan",14050,"STICHTING WOMEN IN EUROPE FOR A COMMON FUTURE","Netherlands (The)","Kazakhstan","Kazakhstan: Astana, Almaty, Yst-Kamenogorsk, Karaganda, Chimkent, Aktobe",148186.26,75,197581.68,24,"M",2008
148024,"Prevention of Torture in the PRC ",15160,"THE GREAT BRITAIN CHINA CENTRE","United Kingdom","China","China, Beijing and other cities in different provinces
target gorup: law enforcement officers and policy makers",797704,80,997130,36,"M",2008
148079,"Prevention of torture in Nepal",15160,"ADVOCACY FORUM NGO","Nepal","Nepal","Ten high risk districts of Nepal to be identified from all regions of Nepal ",557532.47,80,696915.59,36,"M",2008
154363,"Building Central Asian Human Rights Protection & Education Through The Media ",15150,"THE INSTITUTE FOR WAR AND PEACEREPORTING (IWPR) LBG","United Kingdom","Central Asia Region","Location:  All countries in the Central Asian region. IWPR has offices in Bishkek, Dushanbe and Almaty.",1275921,80,1594901,24,"M",2008
155235,"Coordinated Effort to Access to Justice for Vulnerable Groups",15160,"ASSOCIATION FOR INTEGRATED DEVELOPMENT-COMILLA","Bangladesh","Bangladesh","Bangladesh, Districts: Comilla (Comilla Sadar Upazila), Laxmipur (Raipur Upazila), Feni (Parsuram Upazila), Kurigram (Nageshwari Upazila) ,   Sunamgong (Sunamgong Sadar Upazila) ",239913.6,80,299892,24,"M",2008
155236,"Institutionalising Alternative Dispute Resolution (ADR) for enhanced access to justice of the vulnerable communities",15160,"SHUSHILAN ASSOCIATION","Bangladesh","Bangladesh","Twelve Union Parishad in Shyamnagar and Kaliganj Upazila of Satkhira district in Southwest Coastal region of Bangladesh",218235.2,80,272794,24,"M",2008
155247,"Treatment and Rehabilitation of Adibashi (Tribes) Victims of Torture and Organised Violence in Bangladesh",15160,"BANGLADESH REHABILITATION CENTRE FOR TRAUMA VICTIMS ASSOCIATION","Bangladesh","Bangladesh","The projecy aims to provide rapid and effective physical, psychological, and social intervention to the Adibashi victims of torture and organized violence through community based integrated rehabilitation approach and the generation of new knowledge",159875,80,199843.75,24,"M",2008
155347,"Preventing Violence Against Women Through Empowerment",15160,"DHAKA AHSANIA MISSION","Bangladesh","Bangladesh","Selected unions in Jessore, Jhenaidha and Sathkhira districts in Southwest Bangladesh",190000,80,237500,24,"M",2008
155467,"Institutionalised of the Rights of Women Workers of Rural Informal Labour Sector",15160,"ASSOCIATION ACTION IN DEVELOPMENT AID","Bangladesh","Bangladesh","Bangladesh, Western region, Jhenaidah, Kushtia and Jessore districts ",224000,80,280000,24,"M",2008
155475,"Makingsure Aid for the Needy to Uphold and Sustain Human Rights (MANUSH) ",15160,"BIVA ASSOCIATION","Bangladesh","Bangladesh","Bangladesh, South-western region, 3 districts including Jessore, Khulna and Satkhira. Three district towns like Khulna, Jessore and Satkhira including different industrial and important economic zones like Nowapara, Khalishpur, Benapole and Bhomra Land-ports and the minority concentrated remote villages of Abhoynagar and Keshobpur upazila of Jessor district and Kaliganj upazila of Satkhira district will cover by the action. ",96000,80,120000,24,"M",2008
158049,"Strengthening the capacity of civil society and women to promote human rights and democratic reform",15160,"OPPRESSED CLASS AND WOMEN AWARENESS CENTER ACHHAM","Nepal","Nepal","Oli Gaun, Jananiwandali and Banna Toli VDCs of the Achham district, Far-Western Region of Nepal",49452,100,49452,18,"M",2008
158067,"Strengthening the Role of Civil Society inPromoting Human Rights and Democratic Reform ",15160,"MAHILA POONARSTHAPANA KENDRA","Nepal","Nepal","All 19 districts of the central region, Nepal ",199821,80,249777,36,"M",2008
158158,"Initiative to capacitate Local institutions to combat human trafficking",15160,"NARI UTTHAN KENDRA MAHENDRANAGAR 2000 NGO","Nepal","Nepal","Kanchanpur and Kailali districts of Far Western Region, Nepal ",49000,100,49000,24,"M",2008
158218,"Programme for strengthening Capacity of Civil Society in Promoting HUman Rights and Inclusive Democratic Practices in Sindhuli District",15160,"SHANTI TATHA BIKAS PRATISTHAN","Nepal","Nepal","Ranichuri, Bhimsthan, Belghari, Jarayotar, Lampantar, Kuseshwor Dumja, Jhangajholi Ratamata, Purano Jhangajholi, Shitalpati, Majhuwa, Jalkanya, Ratanchura, Bhimeshwor, Baseshwor and Bhadrakai VDCs and district headquarters of the Sindhuli, Nepal ",49991,100,49991,18,"M",2008
158394,"Advocating the end of untouchability through the constitution-building process",15160,"LAWYERS NATIONAL CAMPAIGN AGAINST UNTOUCHABILITY NEPAL","Nepal","Nepal","Kathmandu and 25 districts in Nepal: Kailali, Kanchanpur, Doti, Dadeldhura, Bardiya, Banke, Surhket, Dailekh, Rupandehi, Kapilbastu, Chitwan, Makwanpur, Mahottari, Siraha, Sunsari, Jhapa, Kavre Palanchok, Gorkha, Tanahu, Baglung, Kaski, Nawalparasi, Illam, Parbat, Dhading",240000,80,300000,24,"M",2008
158400,"Empowering women migrant workers in Nepal",15160,"PEOPLE FORUM FOR HUMAN RIGHTS ASSOCIATION","Nepal","Nepal","Kathmandu and Sunsari districts of Nepal",32000,80,40000,12,"M",2008
159300,"Capacity Building Programme for Protecting Human Rights and Fundamental Freedoms in Nepal ",15160,"NATIONAL PEACE CAMPAIGN ASSOCIATION","Nepal","Nepal","Thirty selected districts of Nepal including 20 districts of entire Tarai region and 10 selected districts of Eastern Hills of the Country.",715620,100,715620,36,"M",2008
163379,"Providing access to justice for women",15160,"PUBLIC ASSOCIATION THE LEGAL CENTEROF WOMEN'S INITIATIVES SANA SEZIM","Kazakhstan","Kazakhstan","Kazakhstan, South Kazakhstan Region, Shymkent",162608,80,203260,24,"M",2008
163398,"Development of the independent regional mass media through the building qualitative business journalism.",15153,"FOUNDATION DECENTA","Kazakhstan","Kazakhstan","Kazakhstan: Almaty, Kostanay, Astana, Pavlodar, Karaganda, Atyray, Taraz and Petropavlovsk",201108.8,80,251386,24,"M",2008
163408,"SHANYRAK IS OUR COMMON HOUSE! ASSISTANCE TO THE PEACE COORDINATION OF INTERESTS OF GROUPS. SEARCH OF A CONSENSUS ON DISPUTABLE AND INCOSISTENT AREAS IN THE INTERNAL MIGRATION OF THE POPULATION.",15160,"AR.RUKH.KHAK.","Kazakhstan","Kazakhstan","Eight cities of Kazakhstan - Almaty, Astana, Kyzyl-Orda, Atyrau, Aktau, Kokshetau, Taraz, Shymkent",236264.3,80,295700,24,"M",2008
164189,"Support Centre of National Minorities Rights",15150,"YOUTH PUBLICATION UNION GOLDEN GOAL","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan, Osh and Jalalabad Provinces",63889,80,79861,18,"M",2008
164225,"Project for inclusion of the Human rights in the Kyrgyz Police",15160,"CENTER OF INNOVATIVE EDUCATION PEREMENA PUBLIC FOUNDATION","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan in all 7 oblasts: Chui, Osh, Jalalabat, Batken, Talas, Issykul, Naryn and in Bishkek, Osh towns",68000,80,85000,12,"M",2008
164227,"Bir-Duyno-One World Kyrgyzstan 2009",15160,"HUMAN RIGHTS CENTER CITIZENS AGAINST CORRUPTION ASSOCIATION","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan: Batken, Osh, Naryn, Ysyk-Kol oblasts, towns: Bishkek, Osh, Isfana, Naryn, Kara-Kol",50000,80,62500,12,"M",2008
164229,"Improving the lives of people with disabilities",15150,"THE EURASIA FOUNDATION OF CENTRAL ASIA","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan, Issyk-Kul oblast",107517.6,80,134397,18,"M",2008
164230,"Increase of efficiency of national mechanism on gender equality achievement",15170,"NONGOVERNEMENTAL PUBLIC MOVEMENT CRISIS-PSYCHOLOGICAL AND REHABILITATION CENTRE ALTYNAI ASSOCIATION","Kyrgyzstan","Kyrgyzstan","the Kyrgyz Republic:  5 rayons (Issyk-Kul, Tyup, Ak-Su, Djety-Oguz, Ton) of Issyk-Kul region",53820,78,69000,12,"M",2008
164302,"National Video Dialogue Network",15150,"COALITION FOR DEMOCRACY AND CIVIL SOCIETY ASSOCIATION","Kyrgyzstan","Kyrgyzstan","All of Kyrgyzstan, (specifically Bishkek, Osh, Balykchy and Batken)",149994,76,197855,20,"M",2008
164757,"Strengthening Civil Society Voice in Promoting Democratic Governance and Reform",15160,"COMMITTEE FOR FREE AND FAIR ELECTIONS IN CAMBODIA ASSOCIATION","Cambodia ","Cambodia ","The action will be implemented in all the 24 provinces of Cambodia through advocacy, debate, seminar/workshop and radio programmes. These activities are so designed in order to enhance popular participation in politics, the interactions between voters, CSOs and  electected and government officials as well as to ensure accountability of elected officials and members of parliament. ",70000,70,99678,24,"M",2008
164761,"Enhancing Independent Media in Cambodia",15160,"CAMBODIAN CENTER FOR INDEPENDENT MEDIA ASSOCIATION","Cambodia ","Cambodia ","This action will be implemented throughout Cambodia through such activities as weekly radio programs, consultative conferences of Cambodian journalists, regular meetings with various journalists' associations, advocacy activities such as press releases and lobbying.   ",118990,80,148318,24,"M",2008
164764,"Supporting Female Commune Councilors in Cambodia",15160,"THE ASIA FOUNDATION CORPORATION","United States","Cambodia ","The target groups include: women commune councilors and vomen serving as non-voting women and children focal points. The project activities cover 4 provinces-Ratanakiri, Mondulkiri, Stung Treng, and Kratie",149784,73,206584,36,"M",2008
164770,"The ChildSafe Network Project",15150,"FRIENDS INTERNATIONAL FRANCE ASSOCIATION","France","Cambodia ","The project is to implement in Phnom Penh, Siem Reap, Kampong Cham and Sihanouk Ville",150000,63,239403,24,"M",2008
164798,"Empowering disadvantaged urban and rural communities for the defence of their basic human rights in the course of land conflicts and development processes",15160,"CAMBODIAN CENTER FOR HUMAN RIGHTS ASSOCIATION","Cambodia ","Cambodia ","The target groups include rural and urban communities that are affected by human rights violations in the course of land conflicts and representatives of local authorities. The project activities cover 24 provinces of Cambodia",105304,61,171531,24,"M",2008
165073,"Strengthening the Role and Capacity of the Lao Disabled People's Association to promote human rights of women with disabilities in the Lao PDR.",15160,"POWER INTERNATIONAL LBG","United Kingdom","Laos","Lao PDR, South East Asia: Vientiane Capital,  11 Lao Provinces: Vientiane, Vientiane Capital, Vientiane Province,  Saravanne, Sekong, Savannkhet, Champassak, Luang Prabang, Sayaboury, Huaphan, Xieng Khouang, Oudomxay",98156,80,122675,24,"M",2008
166596,"Torture: Treatment and Advocacy in Times of Conflict, a collective response to the needs of victims",15160,"THE ASIA FOUNDATION CORPORATION","United States","Sri Lanka","Sri Lanka: north and east regions: districts of Ampara (includes Akkaraipattu), Anuradhapura, Batticaloa, Trincomalee, Mannar, Vavuniya and Jaffna",369282,65,568126,24,"M",2008
168221,"EU-China Human Rights Network",15160,"NATIONAL UNIVERSITY OF IRELAND GALWAY","Ireland","China","China, Beijing + EU Member States
target group: European and Chinese academic community: legislators, policy makers, CSOs, general public",1499897,94,1598360,36,"M",2008
168250,"Rape Survivors Support Programme",15160,"WAR AGAINST RAPE ASSOCIATION","Pakistan","Pakistan","Target groups: CSO's and rape survivors.
Pakistan; Karachi, including its 18 towns",100000,67,149000,36,"M",2008
168719,"Empowering Afghan Women to Participate in Local and National Political and Public Life",15160,"THE BBC WORLD SERVICE TRUST","United Kingdom","Afghanistan","Afghanistan nationwide",300000,67,448093,12,"M",2008
169259,"Juvenile Justice Reform in Pakistan",15160,"UNITED NATIONS CHILDREN'S FUND","United States","All Countries","Target groups: CSO's and juveniles in the justice system.
Pakistan, all four provinces.",300000,76,392326,30,"M",2008
169261,"Monitoring Implementation Two ILO Conventions Related Child Labour and Empowering the Capacity of NGOs against Child Labour in Indonesia ",15160,"JARINGAN LEMBAGA SWADAYA MASYARAKAT PENANGGULANGAN PEKERJA ANAK INDONESIA PERKUMPULAN","Indonesia","Indonesia","Project is implemented in 7 provinces in Indonesia (Jakarta, North Sumatra, Lampung, Central Java, West Kalimantan, North Sulawesi
and East Nusa Tenggara)
",92040,77,119180,18,"M",2008
169266,"Reinforcement of the Participation of Rural Marginalized Population to Advance Agrarian Reform in Indonesia",15160,"KONSORSIUM PEMBARUAN AGRARIA YAYASAN","Indonesia","Indonesia","Indonesia (Sumatra, Sulawesi, Java, Kalimantan and Nusa Tenggara)",94206.28,74,127271.39,18,"M",2008
169351,"Democratic participation and social dialogue in private small and medium size enterprises",15160,"ULANDSSEKRETARIATET FORENING","Denmark","Vietnam","Hanoi and Khanh Hoa.  Beneficiary: trade union officials.",177998,76,233445,36,"M",2008
169358,"Promoting the application of basic human rights through the utilisation of legal frameworks",15160,"CESVI FOUNDATION ONLUS","Italy","All Countries","Viet Nam - Hai Phong and Quang Ninh provinces.  Beneficiary: Women's Union and informal partners (groups working in support of people living with HIV/AIDS and commercial sex workers).",76059.88,80,95074.85,18,"M",2008
169359,"Rights-based inclusive education access for children with disabilities in Bac Kan province",15160,"HANDICAP INTERNATIONAL ASSOCIATION","France","All Countries","Viet Nam - Bac Kan province.  Beneficiary: Department of Education in Bac Kan province.  ",121760,80,152200,24,"M",2008
169415,"One village One Voice - Empowering citizen representation and participation in the District of Vavuniya ",15160,"DEUTSCHE WELTHUNGERHILFE EV","Germany","Sri Lanka","Sri Lanka, Vavuniya District, 10 villages in Cheddikulam and Vavuniya South Divisions",139088,80,173860,24,"M",2008
169508,"Create effective mechanisms to protect child rights of institutionalized children in Sri Lanka",15160,"ENFANTS DU MONDE-DROITS DE L'HOMME","France","Sri Lanka","3 districts of Sri Lanka: Galle, Matara and Batticaloa ",200000,80,250000,24,"M",2008
169515,"Strengthening National Civil Society for the Protection of Rights of Conflict Affected Communities in Sri Lanka",15160,"OXFAM GB LBG","United Kingdom","Sri Lanka","Sri Lanka, North and East Provinces",250000,79,317751,36,"M",2008
169700,"Enhancing Political Representation and Participation to Improve Participation and to Enhance Responsiveness and Accountability of the Political System, within the Context of Local Elections or Leading up to national Elections in 2009 ",15160,"INDONESIAN PARLIAMENTARY CENTER ASSOCIATION","Indonesia","Indonesia","Indonesia: 5 municipalities in 5 provinces; Jakarta (DKI Jakarta), Pontianak (West Kalimantan), Semarang (Central Java), Denpasar (Bali) and Makassar (South Sulawesi) ",79000,80,98750,18,"M",2008
170009,"Rights, Responsibility, Reform",15160,"RURAL DEVELOPMENT FOUNDATION ASSOCIATION","Sri Lanka","Sri Lanka","Puttalam
Mannar
Vavuniya
Anuradhapura
",185606.4,80,232008,24,"M",2008
170152,"Media for Democracy in Afghanistan",15160,"FEDERATION INTERNATIONALE DES JOURNALISTES AISBL","Belgium","Afghanistan","Afghanistan - countrywide",215378.16,80,269222.73,36,"M",2008
170249,"Media and civil society for the rights of the child.",15160,"RADDA BARNENS RIKSFORBUND IDEELLA FORENINGAR","Sweden","Vietnam","Viet Nam - Ha Noi, Vinh Phuc province and Hung Yen province.  Beneficiary: media agencies.",132765,80,166479,36,"M",2008
